no,kota,kode_wilayah,provinsi
1,Kabupaten Aceh Barat,11.05,Aceh (NAD)
2,Kabupaten Aceh Barat Daya,11.12,Aceh (NAD)
3,Kabupaten Aceh Besar,11.06,Aceh (NAD)
4,Kabupaten Aceh Jaya,11.14,Aceh (NAD)
5,Kabupaten Aceh Selatan,11.01,Aceh (NAD)
6,Kabupaten Aceh Singkil,11.10,Aceh (NAD)
7,Kabupaten Aceh Tamiang,11.16,Aceh (NAD)
8,Kabupaten Aceh Tengah,11.04,Aceh (NAD)
9,Kabupaten Aceh Tenggara,11.02,Aceh (NAD)
10,Kabupaten Aceh Timur,11.03,Aceh (NAD)
11,Kabupaten Aceh Utara,11.08,Aceh (NAD)
12,Kabupaten Agam,13.06,Sumatera Barat
13,Kabupaten Alor,53.05,Nusa Tenggara Timur (NTT)
14,Kota Ambon,81.71,Maluku
15,Kabupaten Asahan,12.09,Sumatera Utara
16,Kabupaten Asmat,93.04,Papua Selatan
17,Kabupaten Badung,51.03,Bali
18,Kabupaten Balangan,63.11,Kalimantan Selatan
19,Kota Balikpapan,64.71,Kalimantan Timur
20,Kota Banda Aceh,11.71,Aceh (NAD)
21,Kota Bandar Lampung,18.71,Lampung
22,Kota Bandung,32.73,Jawa Barat
23,Kabupaten Bandung,32.04,Jawa Barat
24,Kabupaten Bandung Barat,32.17,Jawa Barat
25,Kabupaten Banggai,72.01,Sulawesi Tengah
26,Kabupaten Banggai Kepulauan,72.07,Sulawesi Tengah
27,Kabupaten Banggai Laut,72.11,Sulawesi Tengah
28,Kabupaten Bangka,19.01,Kepulauan Bangka Belitung
29,Kabupaten Bangka Barat,19.05,Kepulauan Bangka Belitung
30,Kabupaten Bangka Selatan,19.03,Kepulauan Bangka Belitung
31,Kabupaten Bangka Tengah,19.04,Kepulauan Bangka Belitung
32,Kabupaten Bangkalan,35.26,Jawa Timur
33,Kabupaten Bangli,51.06,Bali
34,Kota Banjar,32.79,Jawa Barat
35,Kabupaten Banjar,63.03,Kalimantan Selatan
36,Kota Banjarbaru,63.72,Kalimantan Selatan
37,Kota Banjarmasin,63.71,Kalimantan Selatan
38,Kabupaten Banjarnegara,33.04,Jawa Tengah
39,Kabupaten Bantaeng,73.03,Sulawesi Selatan
40,Kabupaten Bantul,34.02,DI Yogyakarta
41,Kabupaten Banyuasin,16.07,Sumatera Selatan
42,Kabupaten Banyumas,33.02,Jawa Tengah
43,Kabupaten Banyuwangi,35.10,Jawa Timur
44,Kabupaten Barito Kuala,63.04,Kalimantan Selatan
45,Kabupaten Barito Selatan,62.04,Kalimantan Tengah
46,Kabupaten Barito Timur,62.13,Kalimantan Tengah
47,Kabupaten Barito Utara,62.05,Kalimantan Tengah
48,Kabupaten Barru,73.11,Sulawesi Selatan
49,Kota Batam,21.71,Kepulauan Riau
50,Kabupaten Batang,33.25,Jawa Tengah
51,Kabupaten Batanghari,15.04,Jambi
52,Kota Batu,35.79,Jawa Timur
53,Kabupaten Batu Bara,12.19,Sumatera Utara
54,Kota Bau Bau,74.72,Sulawesi Tenggara
55,Kota Bekasi,32.75,Jawa Barat
56,Kabupaten Bekasi,32.16,Jawa Barat
57,Kabupaten Belitung,19.02,Kepulauan Bangka Belitung
58,Kabupaten Belitung Timur,19.06,Kepulauan Bangka Belitung
59,Kabupaten Belu,53.04,Nusa Tenggara Timur (NTT)
60,Kabupaten Bener Meriah,11.17,Aceh (NAD)
61,Kabupaten Bengkalis,14.03,Riau
62,Kabupaten Bengkayang,61.07,Kalimantan Barat
63,Kota Bengkulu,17.71,Bengkulu
64,Kabupaten Bengkulu Selatan,17.01,Bengkulu
65,Kabupaten Bengkulu Tengah,17.09,Bengkulu
66,Kabupaten Bengkulu Utara,17.03,Bengkulu
67,Kabupaten Berau,64.03,Kalimantan Timur
68,Kabupaten Biak Numfor,91.06,Papua
69,Kabupaten Bima,52.06,Nusa Tenggara Barat (NTB)
70,Kota Bima,52.72,Nusa Tenggara Barat (NTB)
71,Kota Binjai,12.75,Sumatera Utara
72,Kabupaten Bintan,21.01,Kepulauan Riau
73,Kabupaten Bireuen,11.11,Aceh (NAD)
74,Kota Bitung,71.72,Sulawesi Utara
75,Kabupaten Blitar,35.05,Jawa Timur
76,Kota Blitar,35.72,Jawa Timur
77,Kabupaten Blora,33.16,Jawa Tengah
78,Kabupaten Boalemo,75.02,Gorontalo
79,Kabupaten Bogor,32.01,Jawa Barat
80,Kota Bogor,32.71,Jawa Barat
81,Kabupaten Bojonegoro,35.22,Jawa Timur
82,Kabupaten Bolaang Mongondow,71.01,Sulawesi Utara
83,Kabupaten Bolaang Mongondow Selatan,71.11,Sulawesi Utara
84,Kabupaten Bolaang Mongondow Timur,71.10,Sulawesi Utara
85,Kabupaten Bolaang Mongondow Utara,71.08,Sulawesi Utara
86,Kabupaten Bombana,74.06,Sulawesi Tenggara
87,Kabupaten Bondowoso,35.11,Jawa Timur
88,Kabupaten Bone,73.08,Sulawesi Selatan
89,Kabupaten Bone Bolango,75.03,Gorontalo
90,Kota Bontang,64.74,Kalimantan Timur
